Product,Flow,Country,Product Classification,State,Unit,2024
0--All Merchandise,Exports,Mexico,NAICS - 3,Michigan,Millions of USD,"$17,081"
336--Transportation Equipment,Exports,Mexico,NAICS - 3,Michigan,Millions of USD,"$5,097"
"335--Electrical Equipment, Appliances & Components",Exports,Mexico,NAICS - 3,Michigan,Millions of USD,"$2,578"
"333--Machinery, Except Electrical",Exports,Mexico,NAICS - 3,Michigan,Millions of USD,"$2,093"
325--Chemicals,Exports,Mexico,NAICS - 3,Michigan,Millions of USD,"$1,342"
326--Plastics & Rubber Products,Exports,Mexico,NAICS - 3,Michigan,Millions of USD,"$1,213"
334--Computer & Electronic Products,Exports,Mexico,NAICS - 3,Michigan,Millions of USD,"$1,209"
332--Fabricated Metal Products,Exports,Mexico,NAICS - 3,Michigan,Millions of USD,"$1,195"
331--Primary Metal Manufactures,Exports,Mexico,NAICS - 3,Michigan,Millions of USD,$729
311--Processed Foods,Exports,Mexico,NAICS - 3,Michigan,Millions of USD,$402
327--Nonmetallic Mineral Products,Exports,Mexico,NAICS - 3,Michigan,Millions of USD,$260
313--Textiles & Fabrics,Exports,Mexico,NAICS - 3,Michigan,Millions of USD,$218
339--Miscellaneous Manufactures,Exports,Mexico,NAICS - 3,Michigan,Millions of USD,$178
337--Furniture & Fixtures,Exports,Mexico,NAICS - 3,Michigan,Millions of USD,$133
322--Paper,Exports,Mexico,NAICS - 3,Michigan,Millions of USD,$114
930--Used Or Second-Hand Merchandise,Exports,Mexico,NAICS - 3,Michigan,Millions of USD,$105
111--Agricultural Products,Exports,Mexico,NAICS - 3,Michigan,Millions of USD,$48
324--Petroleum & Coal Products,Exports,Mexico,NAICS - 3,Michigan,Millions of USD,$38
316--Leather & Allied Products,Exports,Mexico,NAICS - 3,Michigan,Millions of USD,$31
314--Textile Mill Products,Exports,Mexico,NAICS - 3,Michigan,Millions of USD,$25
990--Other Special Classification Provisions,Exports,Mexico,NAICS - 3,Michigan,Millions of USD,$18
211--Oil & Gas,Exports,Mexico,NAICS - 3,Michigan,Millions of USD,$14
321--Wood Products,Exports,Mexico,NAICS - 3,Michigan,Millions of USD,$12
323--Printed Matter & Related Products,Exports,Mexico,NAICS - 3,Michigan,Millions of USD,$9
910--Waste And Scrap,Exports,Mexico,NAICS - 3,Michigan,Millions of USD,$8
212--Minerals & Ores,Exports,Mexico,NAICS - 3,Michigan,Millions of USD,$4
312--Beverages & Tobacco Products,Exports,Mexico,NAICS - 3,Michigan,Millions of USD,$2
315--Apparel & Accessories,Exports,Mexico,NAICS - 3,Michigan,Millions of USD,$1
112--Livestock & Livestock Products,Exports,Mexico,NAICS - 3,Michigan,Millions of USD,$1
114--Fish & Other Marine Products,Exports,Mexico,NAICS - 3,Michigan,Millions of USD,$0
113--Forestry Products,Exports,Mexico,NAICS - 3,Michigan,Millions of USD,$0
115--Products Supporting Agriculture And Forestry,Exports,Mexico,NAICS - 3,Michigan,Millions of USD,$0